	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
18589	Y	en	FALSE		slacken	slack	event	eng-30-00441212-v	make less active or fast	eng-30-13556509-n	a noticeable deterioration in performance or quality	NEW_LIT_PAIR_KNOWN_REL
18590	Y	ing	FALSE		come	coming	state	eng-30-02197360-v	experience orgasm	eng-30-00062133-n	the moment of most intense pleasure in sexual intercourse	NEW_PAIR_REL
18592	Y		TRUE		bosom	bosom	location	eng-30-02147313-v	hide in one's bosom	eng-30-05553486-n	a person's breast or chest	NEW_PAIR_REL
18594	Y	ing	FALSE		roar	roaring	event	eng-30-00029836-v	laugh unrestrainedly and heartily	eng-30-07121361-n	a very loud utterance (like the sound of an animal)	NEW_LIT_PAIR_KNOWN_REL
18595	Y	ure	FALSE		enclose	enclosure	location	eng-30-02711114-v	"close in; darkness enclosed him"""	eng-30-03285912-n	a structure consisting of an area that has been enclosed for some purpose	NEW_PAIR_REL
18596	Y	ing	FALSE		roar	roaring	event	eng-30-01046932-v	emit long loud cries	eng-30-07121361-n	a very loud utterance (like the sound of an animal)	NEW_LIT_PAIR_KNOWN_REL
18598	Y	ing	FALSE		nurse	nursing	event	eng-30-01186428-v	give suck to	eng-30-01058870-n	nourishing at the breast	NEW_PAIR_REL
18599	Y	ity	FALSE		fix	fixity	property	eng-30-01340439-v	cause to be firmly attached	eng-30-04777098-n	the quality of being fixed in place as by some firm attachment	NEW_PAIR_REL
18600	Y		TRUE	ZeroV	page	page		eng-30-00949093-v	number the pages of a book or manuscript	eng-30-06256697-n	one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains	NEW_PAIR_REL
18602	Y	ing	FALSE		plough	plowing	NO?	eng-30-01741864-v	to break and turn over earth especially with a plow	eng-30-00918644-n	tilling the land with a plow	NEW_PAIR_REL
18604	YB	ation	FALSE		sanitise	sanitation	event	eng-30-01245052-v	make sanitary by cleaning or sterilizing	eng-30-00254415-n	making something sanitary (free of germs) as by sterilizing	NEW_LIT_PAIR_KNOWN_REL
18608	Y	ing	FALSE		shop	shopping	event	eng-30-02326355-v	shop around; not necessarily buying	eng-30-00081836-n	searching for or buying goods or services	NEW_PAIR_REL
18609	Y	ist	FALSE		accompany	accompanist	agent	eng-30-01728355-v	perform an accompaniment to	eng-30-09760913-n	a person who provides musical accompaniment (usually on a piano)	NEW_PAIR_REL
18611	Y	ing	FALSE		collect	collecting	event	eng-30-02304982-v	get or gather together	eng-30-01014066-n	the act of gathering something together	NEW_LIT_PAIR_KNOWN_REL
18614	Y	ing	FALSE		pass	passing	event	eng-30-02049696-v	travel past	eng-30-00340192-n	going by something that is moving in order to get in front of it	NEW_PAIR_REL
18615	Y	ator	FALSE		instil	instillator	instrument	eng-30-01422662-v	enter drop by drop	eng-30-03574416-n	medical apparatus that puts a liquid into a cavity drop by drop	NEW_LIT_PAIR_KNOWN_REL
18619	Y	ation	FALSE		alien	alienation	result	eng-30-01823528-v	arouse hostility or indifference in where there had formerly been love, affection, or friendliness	eng-30-14415773-n	separation resulting from hostility	NEW_LIT_PAIR_KNOWN_REL
18620	Y	ing	FALSE		bid	bidding	result	eng-30-02300060-v	make a demand, as for a card or a suit or a show of hands	eng-30-06737112-n	(bridge) the number of tricks a bridge player is willing to contract to make	NEW_PAIR_REL
18623	Y	ing	FALSE		shop	shopping	event	eng-30-02325968-v	do one's shopping	eng-30-00081836-n	searching for or buying goods or services	NEW_PAIR_REL
18624	Y	ure	FALSE		forfeit	forfeiture	event	eng-30-02303331-v	lose (s.th.) or lose the right to (s.th.) by some error, offense, or crime	eng-30-13300922-n	a penalty for a fault or mistake that involves losing or giving up something	NEW_LIT_PAIR_KNOWN_REL
18626	Y	ing	FALSE		beg	begging	event	eng-30-02270815-v	ask to obtain free	eng-30-07187996-n	a solicitation for money or food (especially in the street by an apparently penniless person)	NEW_PAIR_REL
18628	Y	ise	FALSE		acetylise	acetyl	material?	eng-30-00524083-v	introduce an acetyl group into (a chemical compound)	eng-30-14594456-n	the organic group of acetic acid (CH3CO-)	NEW_PAIR_REL
18630	YB	ment	FALSE		medicate	medicament	uses?	eng-30-00084562-v	impregnate with a medicinal substance	eng-30-03740161-n	(medicine) something that treats or prevents or alleviates the symptoms of disease	NEW_PAIR_REL
18631	Y	ing	FALSE		run	running	event	eng-30-02525312-v	make without a miss	eng-30-00558883-n	(American football) a play in which a player attempts to carry the ball through or past the opposing team	NEW_LIT_PAIR_KNOWN_REL
18632	Y	ent	FALSE		precede	precedent		eng-30-02712443-v	be earlier in time; go back further	eng-30-05821486-n	an example that is used to justify similar occurrences at a later time	NEW_PAIR_REL
18634	Y	al	FALSE		rent	rental	NO	eng-30-02460199-v	let for money	eng-30-01111375-n	the act of paying for the use of something (as an apartment or house or car)	NEW_PAIR_REL
18635	Y		TRUE		relieve	relief	state	eng-30-01815185-v	lessen the intensity of or calm	eng-30-14445749-n	the condition of being comfortable or relieved (especially after being relieved of distress)	NEW_LIT_PAIR_KNOWN_REL
18636	Y	ing	FALSE		sprinkle	sprinkling	event	eng-30-01374767-v	cause (a liquid) to spatter about, especially with force	eng-30-00278555-n	the act of sprinkling or splashing water	NEW_LIT_PAIR_KNOWN_REL
18637	Y	ing	FALSE		mellow	mellowing	event	eng-30-00254672-v	soften, make mellow	eng-30-13513222-n	the process of becoming mellow	NEW_PAIR_REL
18638	Y	ing	FALSE		deaden	deadening	event	eng-30-00192051-v	make less lively, intense, or vigorous; impair in vigor, force, activity, or sensation	eng-30-00272878-n	the act of making something futile and useless (as by routine)	NEW_PAIR_REL
18640	Y	er	FALSE		tramp	tramper	agent	eng-30-01881180-v	move about aimlessly or without any destination, often in search of food or employment	eng-30-10176111-n	a foot traveler; someone who goes on an extended walk (for pleasure)	NEW_LIT_PAIR_KNOWN_REL
18641	Y	er	FALSE		attract	attracter	agent	eng-30-01505254-v	direct toward itself or oneself by means of some psychological power or physical attributes	eng-30-10032676-n	an entertainer who attracts large audiences	NEW_LIT_PAIR_KNOWN_REL
18643	Y		TRUE		brim	brim	location	eng-30-00182269-v	fill as much as possible	eng-30-02902250-n	the top edge of a vessel or other container	NEW_PAIR_REL
18645	Y	ing	FALSE		score	scoring	event	eng-30-00657728-v	assign a grade or rank to, according to one's evaluation	eng-30-00874977-n	evaluation of performance by assigning a grade or score	NEW_PAIR_REL
18646	Y	ise	FALSE		channelise	channel	by-means-of	eng-30-01435380-v	send from one person or place to another	eng-30-06260121-n	(often plural) a means of communication or access	NEW_LIT_PAIR_KNOWN_REL
18648	Y	ing	FALSE		finance	financing	event	eng-30-02217266-v	obtain or provide money for	eng-30-01099109-n	the act of financing	NEW_PAIR_REL
18650	Y	ing	FALSE		throttle	throttling	event	eng-30-01570935-v	kill by squeezing the throat of so as to cut off the air	eng-30-00225786-n	the act of suffocating (someone) by constricting the windpipe	NEW_LIT_PAIR_KNOWN_REL
18651	Y	ing	FALSE		fart	farting	event	eng-30-00101629-v	expel intestinal gases through the anus	eng-30-00839597-n	a reflex that expels intestinal gas through the anus	NEW_LIT_PAIR_KNOWN_REL
18652	Y		TRUE		favour	favour	result state	eng-30-00692143-v	consider as the favorite	eng-30-05156319-n	an advantage to the benefit of someone or something	NEW_LIT_PAIR_KNOWN_REL
18653	Y	ing	FALSE		bury	burying	event	eng-30-01234625-v	place in the earth and cover with soil	eng-30-01050627-n	concealing something under the ground	NEW_LIT_PAIR_KNOWN_REL
18656	Y	ation	FALSE		protest	protestation	event	eng-30-00910135-v	utter words of protest	eng-30-07210225-n	a formal and solemn declaration of objection	NEW_LIT_PAIR_KNOWN_REL
18657	Y		TRUE		slop	slops	undergoer/NO?	eng-30-01579488-v	ladle clumsily	eng-30-07805006-n	wet feed (especially for pigs) consisting of mostly kitchen waste mixed with water or skimmed or sour milk	NEW_PAIR_REL
18658	Y	ing	FALSE		hum	humming	event	eng-30-01055829-v	sing with closed lips	eng-30-01253944-n	the act of singing with closed lips	NEW_PAIR_REL
18662	Y	ing	FALSE		shore	shoring	by-means-of	eng-30-01219004-v	support by placing against something solid or rigid	eng-30-04204468-n	a beam or timber that is propped against a structure to provide support	NEW_LIT_PAIR_KNOWN_REL
18663	Y	age	FALSE		wharf	wharfage	uses	eng-30-02331175-v	provide with a wharf	eng-30-03933529-n	a platform built out from the shore into the water and supported by piles; provides access to ships and boats	NEW_LIT_PAIR_KNOWN_REL
18669	Y	ing	FALSE		rat	ratting	event	eng-30-00841986-v	give away information about somebody	eng-30-07214994-n	to furnish incriminating evidence to an officer of the law (usually in return for favors)	NEW_PAIR_REL
18670	Y	ion	FALSE		assert	assertion	event	eng-30-01011031-v	to declare or affirm solemnly and formally as true	eng-30-06729499-n	a declaration that is made emphatically (as if no supporting evidence were necessary)	NEW_LIT_PAIR_KNOWN_REL
18672	Y		TRUE	ZeroN	beat	beat	result	eng-30-01399576-v	strike (a part of one's own body) repeatedly, as in great emotion or in accompaniment to music	eng-30-07086518-n	the basic rhythmic unit in a piece of music	NEW_PAIR_REL
18675	Y	ing	FALSE		cast	casting	event	eng-30-01507143-v	throw forcefully	eng-30-00454624-n	the act of throwing a fishing line out over the water by means of a rod and reel	NEW_PAIR_REL
18678	Y	ise	FALSE		fragmentise	fragment	result	eng-30-00338071-v	break or cause to break into pieces	eng-30-09285254-n	a piece broken off or cut off of something else	NEW_LIT_PAIR_KNOWN_REL
18679	Y	ing	FALSE		etymologize	etymologizing	result	eng-30-00634286-v	construct the history of words	eng-30-06744154-n	(historical linguistics) an explanation of the historical origins of a word or phrase	NEW_PAIR_REL
18680	Y	ing	FALSE		kindle	kindling	event	eng-30-02761685-v	catch fire	eng-30-00378479-n	the act of setting something on fire	NEW_LIT_PAIR_KNOWN_REL
18681	Y	age	FALSE		spoil	spoilage	event	eng-30-00477941-v	make imperfect	eng-30-01263018-n	the act of spoiling something by causing damage to it	NEW_LIT_PAIR_KNOWN_REL
18682	Y	ing	FALSE		parget	pargetting	uses	eng-30-01361561-v	apply ornamental plaster to	eng-30-14977358-n	plaster used to coat outer walls and line chimneys	NEW_LIT_PAIR_KNOWN_REL
18683	Y	ise	FALSE		polymerise	polymer	material	eng-30-00266197-v	undergo polymerization	eng-30-14994328-n	a naturally occurring or synthetic compound consisting of large molecules made up of a linked series of repeated simple monomers	NEW_LIT_PAIR_KNOWN_REL
18685	Y	ing	FALSE		roar	roaring	event	eng-30-00915605-v	utter words loudly and forcefully	eng-30-07121361-n	a very loud utterance (like the sound of an animal)	NEW_LIT_PAIR_KNOWN_REL
18686	Y	ing	FALSE		long	longing	state	eng-30-01828405-v	desire strongly or persistently	eng-30-07486628-n	prolonged unfulfilled desire or need	NEW_PAIR_REL
18687	Y	ing	FALSE		chant	chanting	event	eng-30-01049737-v	recite with musical intonation; recite as a chant or a psalm	eng-30-01254685-n	the act of singing in a monotonous tone	NEW_LIT_PAIR_KNOWN_REL
18689	Y	ing	FALSE		converge	converging	event	eng-30-00368847-v	come together so as to form a single product	eng-30-00146572-n	the act of converging (coming closer)	NEW_PAIR_REL
18690	Y	ing	FALSE		vanish	vanishing	event	eng-30-02156546-v	become invisible or unnoticeable	eng-30-00053806-n	a sudden disappearance from sight	NEW_PAIR_REL
18691	Y	ry	FALSE		machine	machinery	instrument	eng-30-01623967-v	make by machinery	eng-30-03701640-n	machines or machine systems collectively	NEW_PAIR_REL
18692	Y	er	FALSE		wrap	wrapper	uses	eng-30-01580467-v	enclose or enfold completely with or as if with a covering	eng-30-04605726-n	the covering (usually paper or cellophane) in which something is wrapped	NEW_LIT_PAIR_KNOWN_REL
18695	Y	er	FALSE		liquidise	liquidiser	instrument	eng-30-00444309-v	make (a solid substance) liquid, as by heating	eng-30-02850732-n	an electrically powered mixer with whirling blades that mix or chop or liquefy foods	NEW_LIT_PAIR_KNOWN_REL
18696	Y	ion	FALSE		ulcerate	ulceration	body-part	eng-30-00019982-v	affect with an ulcer	eng-30-14211609-n	a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue	NEW_LIT_PAIR_KNOWN_REL
18698	Y	er	FALSE		harpoon	harpooneer	agent	eng-30-01140515-v	spear with a harpoon	eng-30-10160913-n	someone who launches harpoons	NEW_LIT_PAIR_KNOWN_REL
18699	Y		TRUE	ZeroV	stool	stool	location	eng-30-00074038-v	have a bowel movement	eng-30-04446521-n	a plumbing fixture for defecation and urination	NEW_LIT_PAIR_KNOWN_REL
18701	Y	ation	FALSE		synchronise	synchronisation	result	eng-30-00393953-v	make synchronous and adjust in time or manner	eng-30-13845239-n	the relation that exists when things occur at the same time	NEW_PAIR_REL
18703	Y		TRUE		shape	shape	result	eng-30-00142191-v	give shape or form to	eng-30-05930736-n	a perceptual structure	NEW_LIT_PAIR_KNOWN_REL
18704	Y	ing	FALSE		cover	covering	event	eng-30-02148369-v	hide from view or knowledge	eng-30-01049685-n	the act of concealing the existence of something by obstructing the view of it	NEW_PAIR_REL
18705	Y	ion	FALSE		summate	summation	by-means-of event	eng-30-00949288-v	determine the sum of	eng-30-00872107-n	the arithmetic operation of summing; calculating the sum of two or more numbers	NEW_LIT_PAIR_KNOWN_REL
18706	Y		TRUE		demur	demur	event	eng-30-01016626-v	enter a demurrer	eng-30-07209089-n	(law) a formal objection to an opponent's pleadings	NEW_LIT_PAIR_KNOWN_REL
18708	Y	er	FALSE		abjure	abjurer	agent	eng-30-00798717-v	formally reject or disavow a formerly held belief, usually under pressure	eng-30-09754541-n	a person who abjures	NEW_PAIR_REL
18709	Y		TRUE		shoot	shot	agent	eng-30-01137138-v	hit with a missile from a weapon	eng-30-10593115-n	a person who shoots (usually with respect to their ability to shoot)	NEW_LIT_PAIR_KNOWN_REL
18711	Y	ing	FALSE		wane	waning	event	eng-30-00433778-v	decrease in phase	eng-30-07423001-n	a gradual decrease in magnitude or extent	NEW_PAIR_REL
18713	Y	ation	FALSE		categorise	categorisation	event	eng-30-00657260-v	place into or assign to a category	eng-30-01012712-n	the act of distributing things into classes or categories of the same type	NEW_LIT_PAIR_KNOWN_REL
18714	Y	ing	FALSE		mean	meaning		eng-30-00955148-v	mean or intend to express or convey	eng-30-05919866-n	the idea that is intended	NEW_PAIR_REL
18716	Y	ing	FALSE		veneer	veneering	uses	eng-30-01269224-v	cover with veneer	eng-30-04525417-n	coating consisting of a thin layer of superior wood glued to a base of inferior wood	NEW_LIT_PAIR_KNOWN_REL
18717	Y	ery	FALSE		spice	spicery	property?	eng-30-00559919-v	make more interesting or flavorful	eng-30-04992570-n	the property of being seasoned with spice and so highly flavored	NEW_PAIR_REL
18719	Y	ing	FALSE		march	marching	event	eng-30-01919391-v	walk fast, with regular or measured steps; walk with a stride	eng-30-00290579-n	the act of marching; walking with regular steps (especially in a procession of some kind)	NEW_LIT_PAIR_KNOWN_REL
18720	YB	ise	FALSE		mythicise	myth	!result?	eng-30-00135013-v	make into a myth	eng-30-06372680-n	a traditional story accepted as history; serves to explain the world view of a people	NEW_PAIR_REL
18724	Y	ing	FALSE		hanker	hankering	state	eng-30-01828405-v	desire strongly or persistently	eng-30-07486922-n	a yearning for something or to do something	NEW_PAIR_REL
18727	Y	ate	FALSE		acetylate	acetyl	material?	eng-30-00524083-v	introduce an acetyl group into (a chemical compound)	eng-30-14594456-n	the organic group of acetic acid (CH3CO-)	NEW_PAIR_REL
18729	Y	ing	FALSE		nurse	nursing	event	eng-30-00080705-v	try to cure by special care of treatment, of an illness or injury	eng-30-00665079-n	the work of caring for the sick or injured or infirm	NEW_PAIR_REL
18731	Y	er	FALSE		tranquillise	tranquilliser	by-means-of	eng-30-01764800-v	make calm or still	eng-30-04470232-n	a drug used to reduce stress or tension without reducing mental clarity	NEW_LIT_PAIR_KNOWN_REL
18733	Y	ion	FALSE		confuse	confusion	state	eng-30-00621734-v	be confusing or perplexing to; cause to be unable to think clearly	eng-30-07507912-n	a feeling of embarrassment that leaves you confused	NEW_LIT_PAIR_KNOWN_REL
18734	Y	ise	FALSE		agonise	agony	state	eng-30-01794363-v	suffer agony or anguish	eng-30-14324274-n	a state of acute pain	NEW_PAIR_REL
18737	Y	ing	FALSE		braid	braiding	uses	eng-30-01519727-v	decorate with braids or ribbons	eng-30-02889035-n	trimming used to decorate clothes or curtains	NEW_LIT_PAIR_KNOWN_REL
18738	Y	ing	FALSE		swing	swinging	event	eng-30-01877355-v	move or walk in a swinging or swaying manner	eng-30-00327824-n	changing location by moving back and forth	NEW_LIT_PAIR_KNOWN_REL
18740	Y	ist	FALSE		tour	tourist	agent	eng-30-01845229-v	make a tour of a certain place	eng-30-10718131-n	someone who travels for pleasure	NEW_LIT_PAIR_KNOWN_REL
18743	Y		TRUE	ZeroV	mire	mire		eng-30-01834896-v	be unable to move further	eng-30-09355850-n	a soft wet area of low-lying land that sinks underfoot	NEW_PAIR_REL
18744	Y	ing	FALSE		rejoice	rejoicing		eng-30-01823370-v	be ecstatic with joy	eng-30-07529563-n	a feeling of great happiness	NEW_PAIR_REL
18746	Y	ation	FALSE		instal	installation	event	eng-30-02384041-v	put into an office or a position	eng-30-07453195-n	a formal entry into an organization or position or office	NEW_LIT_PAIR_KNOWN_REL
18748	Y		TRUE	ZeroV	palm	palm	NO	eng-30-01210737-v	touch, lift, or hold with the hands	eng-30-13656075-n	a linear unit based on the length or width of the human hand	NEW_PAIR_REL
18749	Y	ing	FALSE		press	pressing	event	eng-30-01390616-v	place between two surfaces and apply weight or pressure	eng-30-00113113-n	the act of pressing; the exertion of pressure	NEW_LIT_PAIR_KNOWN_REL
18750	Y	ise	FALSE		vasectomise	vasectomy	event	eng-30-00061401-v	remove the vas deferens	eng-30-00716179-n	surgical procedure that removes all or part of the vas deferens (usually as a means of sterilization); is sometimes reversible	NEW_PAIR_REL
18751	Y	ise	FALSE		cicatrise	cicatrix	result	eng-30-01551679-v	form a scar, after an injury	eng-30-14363483-n	a mark left (usually on the skin) by the healing of injured tissue	NEW_PAIR_REL
18755	Y	ing	FALSE		dwindle	dwindling	event	eng-30-00267681-v	become smaller or lose substance	eng-30-07422800-n	a becoming gradually less	NEW_PAIR_REL
18758	Y	ing	FALSE		heat	heating	by-means-of	eng-30-02333358-v	provide with heat	eng-30-03509025-n	utility to warm a building	NEW_LIT_PAIR_KNOWN_REL
18760	Y		TRUE		prickle	prickle		eng-30-01440801-v	make a small hole into, as with a needle or a thorn	eng-30-13089631-n	a small sharp-pointed tip resembling a spike on a stem or leaf	NEW_PAIR_REL
18761	Y	ing	FALSE		programme	programing	NO	eng-30-00795264-v	arrange a program of or for	eng-30-01144355-n	setting an order and time for planned events	NEW_PAIR_REL
18762	Y	ing	FALSE		wash	washing	event	eng-30-02742842-v	be capable of being washed	eng-30-00255710-n	the work of cleansing (usually with soap and water)	NEW_LIT_PAIR_KNOWN_REL
18763	Y	ing	FALSE		farrow	farrowing	event	eng-30-00058645-v	give birth	eng-30-13479034-n	the production of a litter of pigs	NEW_LIT_PAIR_KNOWN_REL
18764	Y	le	FALSE		dazzle	daze	event	eng-30-02162434-v	to cause someone to lose clear vision, especially from intense light	eng-30-05684561-n	confusion characterized by lack of clarity	NEW_LIT_PAIR_KNOWN_REL
18766	Y	ate	FALSE		triangulate	triangle		eng-30-02468618-v	divide into triangles or give a triangular form to	eng-30-13879320-n	a three-sided polygon	NEW_PAIR_REL
18767	Y	ing	FALSE		crystalize	crystallizing	event	eng-30-00443670-v	assume crystalline form; become crystallized	eng-30-11410298-n	the formation of crystals	NEW_LIT_PAIR_KNOWN_REL
18768	Y	ure	FALSE		erase	erasure	event	eng-30-01548718-v	remove by or as if by rubbing or erasing	eng-30-00397760-n	deletion by an act of expunging or erasing	NEW_PAIR_REL
18770	Y		TRUE	ZeroN	hit	hit	event	eng-30-01137138-v	hit with a missile from a weapon	eng-30-00125629-n	the act of contacting one thing with another	NEW_PAIR_REL
18771	Y	ist	FALSE		solo	soloist	agent	eng-30-01715040-v	perform a piece written for a single instrument	eng-30-10623650-n	a musician who performs a solo	NEW_PAIR_REL
18773	Y	y	FALSE		chiromance	chiromancy	event	eng-30-02107817-v	divine by reading someone's palms	eng-30-05777830-n	telling fortunes by lines on the palm of the hand	NEW_PAIR_REL
18774	Y	ery	FALSE		fish	fishery	location	eng-30-01140794-v	catch or try to catch fish or shellfish	eng-30-03350880-n	a workplace where fish are caught and processed and sold	NEW_PAIR_REL
18777	Y		TRUE		caravan	caravan	by-means-of	eng-30-01949333-v	travel in a caravan	eng-30-08427629-n	a procession (of wagons or mules or camels) traveling together in single file	NEW_PAIR_REL
18778	Y	ise	FALSE		moisturise	moisture	result	eng-30-00215800-v	make (more) humid	eng-30-14535431-n	wetness caused by water	NEW_PAIR_REL
18780	Y	tion	FALSE		devolve	devolution	event	eng-30-00092293-v	grow worse	eng-30-13460299-n	the process of declining from a higher to a lower level of effective power or vitality or essential quality	NEW_LIT_PAIR_KNOWN_REL
18781	Y		TRUE		people	people		eng-30-00451461-v	fill with people	eng-30-08180190-n	the common people generally	NEW_PAIR_REL
18784	Y	ing	FALSE		scatter	scattering	event	eng-30-02028994-v	move away from each other	eng-30-00369138-n	the act of scattering	NEW_LIT_PAIR_KNOWN_REL
18785	Y		TRUE	ZeroN	ferry	ferry	event	eng-30-01949435-v	transport by ferry	eng-30-01106587-n	transport by boat or aircraft	NEW_PAIR_REL
18786	Y	ion	FALSE		stimulate	stimulation	by-means-of?	eng-30-00503164-v	act as a stimulant	eng-30-05827684-n	any stimulating information or event; acts to arouse action	NEW_PAIR_REL
18787	Y		TRUE		descend	descent	event	eng-30-01970826-v	move downward and lower, but not necessarily all the way	eng-30-07363346-n	a movement downward	NEW_PAIR_REL
18788	Y	ing	FALSE		cause	causing	event	eng-30-00770437-v	cause to do; cause to act in a specified manner	eng-30-00042311-n	the act of causing something to happen	NEW_LIT_PAIR_KNOWN_REL
18790	Y	ant	FALSE		relax	relaxant	!uses?	eng-30-00025654-v	cause to feel relaxed	eng-30-04072811-n	a drug that relaxes and relieves tension	NEW_PAIR_REL
18792	Y		TRUE	ZeroN	break	break	event	eng-30-00258665-v	render inoperable or ineffective	eng-30-00376400-n	the act of breaking something	NEW_PAIR_REL
18794	Y	ing	FALSE		pass	passing	event	eng-30-02523953-v	accept or judge as acceptable	eng-30-00065575-n	success in satisfying a test or requirement	NEW_PAIR_REL
18798	Y	ing	FALSE		leach	leaching	event	eng-30-02071837-v	cause (a liquid) to leach or percolate	eng-30-13506587-n	the process of leaching	NEW_LIT_PAIR_KNOWN_REL
18800	Y	ing	FALSE		quiver	quivering	event	eng-30-01889129-v	shake with fast, tremulous movements	eng-30-14004572-n	a shaky motion	NEW_LIT_PAIR_KNOWN_REL
18802	Y	ing	FALSE		load	loading	uses	eng-30-01489989-v	fill or place a load on	eng-30-02964389-n	goods carried by a large vehicle	NEW_LIT_PAIR_KNOWN_REL
18804	Y		TRUE		pocket	pocket	location	eng-30-02278592-v	put in one's pocket	eng-30-03972524-n	a small pouch inside a garment for carrying small articles	NEW_PAIR_REL
18806	Y	ing	FALSE		group	grouping	event	eng-30-01089878-v	form a group or group together	eng-30-01012360-n	the activity of putting things together in groups	NEW_PAIR_REL
18808	Y	ery	FALSE		smelt	smeltery	by-means-of	eng-30-01681913-v	extract (metals) by heating	eng-30-04246156-n	an industrial plant for smelting	NEW_LIT_PAIR_KNOWN_REL
18812	Y	ant	FALSE		combat	combatant	agent	eng-30-01092366-v	battle or contend against in or as if in a battle	eng-30-09939313-n	someone who fights (or is fighting)	NEW_LIT_PAIR_KNOWN_REL
18813	Y	ance	FALSE		guide	guidance	event	eng-30-02439732-v	be a guiding or motivating force or drive	eng-30-00815320-n	the act of setting and holding a course	NEW_PAIR_REL
18814	Y	ing	FALSE		field	fielding	event	eng-30-01082290-v	catch or pick up (balls) in baseball or cricket	eng-30-00126721-n	(baseball) handling the ball while playing in the field	NEW_PAIR_REL
18816	Y		TRUE		burr	bur	undergoer	eng-30-00181434-v	remove the burrs from	eng-30-12036368-n	seed vessel having hooks or prickles	NEW_LIT_PAIR_KNOWN_REL
18817	Y	en	FALSE		hasten	haste	event	eng-30-02058994-v	move fast	eng-30-00555648-n	the act of moving hurriedly and in a careless manner	NEW_LIT_PAIR_KNOWN_REL
18819	Y	ation	FALSE		localise	localisation	event	eng-30-01711749-v	locate	eng-30-00155487-n	a determination of the place where something is	NEW_LIT_PAIR_KNOWN_REL
18821	Y	ing	FALSE		tell	telling	event	eng-30-01009240-v	express in words	eng-30-07212424-n	informing by words	NEW_PAIR_REL
18822	Y	ate	FALSE		pollinate	pollen	uses	eng-30-00054059-v	fertilize by transfering pollen	eng-30-11675537-n	the fine spores that contain male gametes and that are borne by an anther in a flowering plant	NEW_PAIR_REL
18823	Y	ing	FALSE		induce	inducing	event	eng-30-01644522-v	cause to occur rapidly	eng-30-00159177-n	act of bringing about a desired result	NEW_PAIR_REL
18825	Y	ing	FALSE		pry	prying	event	eng-30-02169119-v	search or inquire in a meddlesome way	eng-30-05683390-n	offensive inquisitiveness	NEW_PAIR_REL
18826	Y	ation	FALSE		preform	preformation		eng-30-01660082-v	form or shape beforehand or determine the shape of beforehand	eng-30-05992949-n	a theory (popular in the 18th century and now discredited) that an individual develops by simple enlargement of a tiny fully formed organism (a homunculus) that exists in the germ cell	NEW_PAIR_REL
18827	Y	ing	FALSE		focus	focusing	event	eng-30-00731789-v	bring into focus or alignment; to converge or cause to converge; of ideas or emotions	eng-30-00375625-n	the act of bringing into focus	NEW_LIT_PAIR_KNOWN_REL
18828	Y	ry	FALSE		refine	refinery	location	eng-30-00474762-v	treat or prepare so as to put in a usable condition	eng-30-04068441-n	an industrial plant for purifying a crude substance	NEW_PAIR_REL
18831	Y	ure	FALSE		press	pressure	event	eng-30-01754105-v	create by pressing	eng-30-00113113-n	the act of pressing; the exertion of pressure	NEW_LIT_PAIR_KNOWN_REL
18837	Y	ure	FALSE		close	closure	event	eng-30-01478423-v	bar access to	eng-30-01074694-n	the act of blocking	NEW_PAIR_REL
18838	Y	ing	FALSE		inquire	inquiring	event	eng-30-00784342-v	inquire about	eng-30-07193184-n	a request for information	NEW_PAIR_REL
18839	Y	ing	FALSE		skydive	skydiving	event	eng-30-01968045-v	jump from an airplane and perform various maneuvers before opening one's parachute	eng-30-00304040-n	performing acrobatics in free fall before pulling the ripcord of a parachute	NEW_PAIR_REL
18840	Y		TRUE		curtain	curtain	by-means-of	eng-30-02353537-v	provide with drapery	eng-30-03151077-n	hanging cloth used as a blind (especially for a window)	NEW_PAIR_REL
18841	YB	ness	FALSE		still	stillness	event	eng-30-00461493-v	cause to be quiet or not talk	eng-30-04982478-n	(poetic) tranquil silence	NEW_LIT_PAIR_KNOWN_REL
18843	Y	ing	FALSE		order	ordering	event	eng-30-00277659-v	bring order to or into	eng-30-01009871-n	the act of putting things in a sequential arrangement	NEW_LIT_PAIR_KNOWN_REL
18844	Y	ing	FALSE		quarter	quartering	event	eng-30-01563575-v	divide into quarters	eng-30-00386553-n	dividing into four equal parts	NEW_PAIR_REL
18845	Y	ation	FALSE		dramatise	dramatisation	event	eng-30-01701311-v	put into dramatic form	eng-30-00930868-n	conversion into dramatic form	NEW_LIT_PAIR_KNOWN_REL
18846	Y	ing	FALSE		peruse	perusing	event	eng-30-02152812-v	examine or consider with attention and in detail	eng-30-06598445-n	reading carefully with intent to remember	NEW_LIT_PAIR_KNOWN_REL
18847	Y	ise	FALSE		apostatise	apostate	agent	eng-30-00757856-v	abandon one's beliefs or allegiances	eng-30-10007109-n	a disloyal person who betrays or deserts his cause or religion or political party or friend etc.	NEW_PAIR_REL
